Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2023-11-04,S005,P0013,Toys,South,372,150,69,144.53,19.04,20,Cloudy,1,20.54,Spring
2023-09-14,S005,P0012,Toys,East,332,10,119,14.16,41.59,5,Snowy,0,44.87,Winter
2022-11-08,S005,P0002,Toys,East,328,17,80,10.52,84.03,10,Cloudy,1,84.99,Summer
2023-01-18,S005,P0014,Toys,North,400,234,55,228.4,30.26,20,Snowy,0,31.17,Summer
2022-05-03,S005,P0020,Toys,South,450,174,74,176.28,36.12,5,Snowy,1,32.4,Summer
2022-05-25,S005,P0003,Toys,West,244,16,88,27.3,88.8,0,Rainy,1,91.5,Summer
2023-11-12,S005,P0019,Toys,South,152,15,93,7.01,99.61,0,Cloudy,1,103.81,Spring
2022-06-15,S005,P0014,Toys,West,492,195,113,202.06,52.5,5,Sunny,0,48.4,Summer
2022-08-02,S005,P0017,Toys,East,104,62,32,79.5,37.17,0,Cloudy,0,36.99,Winter
2023-10-07,S005,P0009,Toys,West,387,242,103,238.15,22.84,0,Rainy,1,27.78,Winter
2022-05-06,S005,P0020,Toys,North,260,243,162,234.98,34.99,20,Sunny,1,38.96,Spring
2023-02-14,S005,P0012,Toys,North,288,41,35,46.39,43.9,15,Snowy,1,48.78,Summer
2022-05-19,S005,P0002,Toys,West,394,169,134,177.58,13.09,0,Sunny,1,8.74,Summer
2023-09-20,S005,P0001,Toys,North,330,204,189,196.61,63.23,5,Sunny,1,64.54,Winter
2023-04-16,S005,P0017,Toys,South,109,90,50,93.72,82.29,5,Cloudy,1,78.7,Winter
2022-10-05,S005,P0013,Toys,South,484,164,117,174.08,77.77,15,Rainy,0,82.21,Summer
2022-12-10,S005,P0001,Toys,North,477,30,45,41.45,22.44,5,Cloudy,0,24.38,Summer
2022-08-23,S005,P0010,Toys,West,279,62,53,61.53,56.92,10,Sunny,1,54.72,Spring
